,Stock,Date,Quantity Sold,Profit
0,AAPL,2022-08-11,10.0,220.94000000000005
1,AAPL,2023-05-01,19.0,99.44
2,GOOG,2023-05-11,2.0,31.560000000000002
3,AMZN,2023-05-17,2.0,24.420000000000016
4,QDVE.DE,2023-07-11,100.0,186.1000000000001
5,VUSA.MI,2023-07-11,24.0,118.54000000000005
6,VUSA.MI,2023-09-05,14.0,106.98000000000005
7,ALLY,2023-10-30,8.0,-59.440000000000026
8,QDVE.DE,2023-10-30,45.0,14.400000000000013
9,VGWL.DE,2023-12-05,13.0,83.14000000000004
10,TSLA,2023-12-14,8.0,179.2100000000001
11,VHYL.AS,2023-12-15,23.0,21.850000000000065
12,DIS,2024-01-26,12.0,18.95999999999998
13,KR,2024-07-15,12.0,63.95999999999998
14,AAPL,2024-08-22,6.0,249.66000000000008
15,KHC,2024-08-22,27.0,-59.739999999999945
16,GOOG,2024-10-09,6.0,157.17999999999995
17,AAPL,2024-11-15,5.0,217.39999999999995
18,PEP,2025-02-10,6.0,-86.55000000000007
