,Stock,Total Quantity,Average Cost
0,VUSA.MI,12.0,86.69
1,QDVE.DE,37.0,29.53
2,VGWL.DE,10.0,113.37
3,TEF.MC,135.0,3.57
4,KO,36.0,60.51
5,AMZN,8.0,172.54
6,GOOG,8.0,148.79
7,MSFT,4.0,338.23
8,BBVA.MC,92.0,8.5
9,CABK.MC,170.0,4.29
10,SAN.MC,147.0,4.02
11,USDV.MI,12.0,62.64
12,CVX,4.0,153.1
13,XOM,5.0,103.85
14,SBUX,10.0,92.71
15,V,10.0,272.14
16,COST,2.0,881.52
17,MO,11.0,49.9
18,VICI,15.0,32.36
19,SAB.MC,375.0,1.84
20,NVDA,7.0,129.63
21,UBER,9.0,72.79
22,EXW1.DE,20.0,55.2
